split,genre,path,transcript
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_001.wav," There are reports, as you say, that Steve Wicoff, President Trump's negotiator, has been having direct talks with his Russian counterpart. We don't know the details of these plans. Russia is not saying anything about details of these plans. We have heard that they may be briefed to European allies. But there was a suggestion, for example, today that President Zelensky would be in anchor at the same time as Steve Wicoff. Steve Wicoff, as we understand, is not there. So I think the focus in Turkey will be more on issues that are more immediate, like prisoner swaps getting Turkey to help Ukraine because it does have good relations, President Erdogan, with President Putin. So I think that these are important."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_002.wav," of funny and thrilling and also quite disconcerting at times. So if you say billionaire to me, I think Oprah, like that is where my mind goes. But Oprah would not be a typical billionaire. Demographically, she's simply not. She's an older black woman. Is there a typical person who sort of represents what a billionaire is? The median billionaire, in a sense, the one that the statistics would generate, if we were trying to imagine everything we know about who they are and where they come from, they would look a lot like Elon Musk. This is the chainsaw for bureaucracy. Which is to say, he is..."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_003.wav," the enormous amount of debt that is being taken on to build these data centers, the enormous amount of money that's being borrowed to build them. And as you look at that debt, it's hard to know how much there is and who is holding the debt. If that debt is spread across a lot of companies, then you have more systemic risk. You have greater risk that could damage the rest of the economy. Right, that was the thing that made the 2008 crash so bad, the amount of debt that had..."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_004.wav," Right? You did something really meritorious at work. Your pay went up because your boss recognized it or maybe you'd even changed jobs and your pay went up when you changed jobs. And that was due to your own gumption and hard work. Whereas inflation is something that happened to you, that robbed you of the full value of that pay raise. And that's partly true. But it's also partly not true in the sense that part of the reason why wages were rising is that employees were demanding higher pay to compensate for higher inflation. I'm sure that..."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_005.wav," What do you think today explains this? I don't know. Katherine Rampell, I'm the economics editor at the Bullwork and I'm also an anchor at MS Now, formerly known as MSNBC. Katherine, I am a very cheap American. I pay very careful attention to prices and I don't remember prices ever coming down in any significant way in my entire adult life other than during the great financial crisis where I remember you could like get a house for real cheap. It feels like..."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_006.wav," earlier because the election earlier this month, resounding democratic victories, bigger than we anticipated, and up and down the ballot. And I think this is being processed in real time by members of Congress. And I think Thomas Massey said something interesting about this. He said, you know, this vote is going to be remembered longer than Trump's in office. You literally were reciting the line that I recited back to him. Today because it felt very memorable. That is a very incisive comment that he made. And it's not just this vote. There's some other things we're seeing. Trump."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_007.wav," moved quickly to call a vote in support of the Epstein bill, which now puts the bill on track to pass the Senate by Wednesday morning. If that happens, the bill could be signed into law by President Trump by the end of the day. 대통령港subtitling.au"
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_008.wav," feeling of hollowness and of frustration about that mythology. And so it feels as if this is no longer just a part of the usual ebb and flow of opportunity and fortune of money concentrating into the hands of a few and then dispersing out more broadly. And this history on this suggests that at a certain point, people do get frustrated to the point where they don't accept it anymore. And feel as if we're approaching some reckoning point. There's a great historian named Ranzimic Mullen who studied the fall of Rome and what he said was the"
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_009.wav," Before Ben Salman could answer a question about the murder from a reporter, Trump interjected and defended the Crown Prince. You're mentioning somebody that was extremely controversial. A lot of people didn't like that gentleman that you're talking about, whether you like him or didn't like him, things happen. But he knew nothing about it. And we can leave it at that. You don't have to embarrass our guest by asking a question like that. And in a major blow to President Trump's efforts to redistrict his way to victory in the midterm elections, a federal judge has blocked Texas's newly-redrawn congressional map from going into effect."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_010.wav," Yes, taking power away from the very powerful. As you heard, the Donald Trump himself, a one-time friend of Epstein, is right at the center of this story. The president called for the files to be released while campaigning for re-election. Then once in power, he changed his mind. In the build-up to the latest votes after a rebellion from some in his own party, he switched sides again, calling on Republicans to vote for the files for lease. But his response was asked about Epstein at a press conference. He's a terrible person and a terrible reporter. As far as the Epstein files is."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_011.wav," through the grass to get away, telling harrowing stories of abuse, of torture, of being forced to work and hit targets. It was a big scam central when the police raided it. There were hundreds of people from many different nationalities all be working in these high pressure conditions, scamming people around the world. And Alice Gow has been charged with human trafficking. She's now been convicted of it. She faces other charges of money laundering. Clearly, she was able to become very, very rich. But her story became even more bizarre when it turned out that she wasn't Filipino. In fact, she migrated as a teenager. She had fake documents, a fake birth certificate. She shouldn't even have been mayor. And then allegations came from other-"
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_012.wav," fresh today and get 50% off the first box with free shipping. Go to HelloFresh.ca and use promo code Mom50. That's HelloFresh.ca promo code Mom50. HelloFresh.ca. HelloFresh. Canada's number one meal kit delivery service. It never happens at a good time. The pipe bursts at midnight. The heater quits on the coldest night. Suddenly, you're overwhelmed. That's when home service here. For $4.99 a month, you're never alone. Just call their 24-7 hotline and the local pro service on the way. Trusted by millions, home-served delivers peace of mind when you need it most. For plans starting at just $4.99 a month, go to home-served.com. That's home-served.com. Not available."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_013.wav," goes through time today, you can open an account in two minutes at chime.com.sash.explain. It's chime.com.sash.explain.Chime feels like progress. China's a financial technology company, not a bank. Banking services and debit card provided by the bank or bankNA or Stride BankNA, members FDIC, spot me eligibility requirements and overdraft limits apply. Timing depends on submission of payment file. These apply it out of network ATMs, bank ranking and number of ATMs, according to US News and World Report 2023. China is checking it out required. Support for today explained comes from Kachava. Kachava. Is it a whole body shake or is it a nutritious meal? Perhaps says Kachava, it's both. Kachava comes with 25 grams of plant-based protein and so many indulgent flavors, such as chocolate."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_014.wav," The cost of the home would be spread out over 50 years instead of 30 years. So, if you are buying a $500,000 home, for instance, you're paying that purchase price over 50 years instead of 30 years. And so the portion of your payment that is the home is going to be lower in each monthly payment. So let's just say you're buying a $500,000 house at current mortgage rates. You put down 20%. Your payment would go from about $2500 for a 30 year, right, to about $2200 for a 50 year per month, per month. So you'd save about $300 per month. And just to say, through."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_015.wav," Do-be-acrobats studio, so brand new. Show me all the things PDFs can do. Do your work with ease and speed. PDF spaces is all you need. Do hours of research in an instant with key insights from an AI assistant. To get template with a click, now your prezo looks super slick. Close that deal, yeah you want. Do that, doing that, did that done. Now you can do that, do that with acrobat. Now you can do that, do that with the all new acrobat. It's time to do your best work with the all new Adobe Acrobat Studio. Support for this show comes from strawberry.me. Be honest, are you happy with your job? Or are you stuck in one you've outgrown? Or no?"
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_016.wav," It's a long way to go, shall we say? I just can't believe that you are, that your advice is, go to India. Yeah, it's not popular. I will say that when I say that, you do see the light fade from the eyes, you know. I would be a little demoralized if that's the advice that I was getting now, trying to break in. I want to get back to your early career a little later, but you are actually an authority on some pretty current things that are happening that actually had their roots in that era of the 80s and the 90s. And one of them, of course, is Jeffrey Epstein. You knew Jeffrey Epstein. You knew Glein Maxwell socially. In your book, The Palace Papers, you described her as..."
train,news,/content/drive/My Drive/CS441/FP2/data/snippets/train/news/news_017.wav," There is someone who has the leverage to force a peace deal in Sudan. It wasn't on my charge because I'm good at settling disputes and I've always been. I've done very well with that over the years. Support for today's plane comes from QUO. Quo says every time you miss a call, that's money left on the table. Formerly open phone is a business phone system that's built for 2025, not 1995. They say they help you work smarter, build stronger relationships, never miss an opportunity. Because that's what your business deserves. Says QUO, QUO works from an app."
